"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";"         .";
"Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";"      9464";1
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";"      9464";1
"Wijk 14 Gasselte";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";"         .";
"Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";"      9462";1
"Kostvlies";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";"      9462";1
"Verspreide huizen Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";"      9462";2
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";"         .";
"Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";"      9514";1
"Gasselterboerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";"      9514";1
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";"         .";
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";"         .";
"Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";"      9515";1
"Gasselterboerveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";"      9515";1
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";"      9515";1
"Wijk 17 Gieten";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";"         .";
"Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";"      9461";1
"Verspreide huizen Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";"      9461";1
"Wijk 18 Gieterveen";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";"         .";
"Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";"      9511";1
"Bonnerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";"      9511";1
"Nieuwediep";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";"      9512";1
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";"      9511";1
"Wijk 19 Rolde";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";"         .";
"Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";"      9451";1
"Ballo";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";"      9458";1
"Nijlande";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";"      9452";1
"Deurze";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";"      9457";1
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";"      9449";1
"Verspreide huizen Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";"      9448";5
"Wijk 20 Grolloo";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";"         .";
"Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";"      9444";1
"Schoonloo";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";"      9443";1
"Verspreide huizen Papenvoort";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";"      9447";1
"Verspreide huizen Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";"      9443";3
"Wijk 21 Ekehaar";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";"         .";
"Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";"      9454";1
"Amen";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";"      9446";1
"Verspreide huizen Ekehaar";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";"      9453";6
"Aalburg";"Aalburg                                 ";"Gemeente  ";"GM0738    ";".";"         .";
"Wijk 00 Wijk en Aalburg";"Aalburg                                 ";"Wijk      ";"WK073800  ";"1";"         .";
"Wijk en Aalburg";"Aalburg                                 ";"Buurt     ";"BU07380000";"1";"      4261";1
"Spijk";"Aalburg                                 ";"Buurt     ";"BU07380001";"1";"      4261";1
"Verspreide huizen Wijk en Aalburg";"Aalburg                                 ";"Buurt     ";"BU07380009";"1";"      4261";1
"Wijk 01 Veen";"Aalburg                                 ";"Wijk      ";"WK073801  ";"1";"         .";
"Veen";"Aalburg                                 ";"Buurt     ";"BU07380100";"1";"      4264";1
"Verspreide huizen Veen";"Aalburg                                 ";"Buurt     ";"BU07380109";"1";"      4264";2
"Wijk 02 Genderen";"Aalburg                                 ";"Wijk      ";"WK073802  ";"1";"         .";
"Genderen";"Aalburg                                 ";"Buurt     ";"BU07380200";"1";"      4265";1
"Verspreide huizen Genderen";"Aalburg                                 ";"Buurt     ";"BU07380209";"1";"      4265";1
"Wijk 03 Eethen";"Aalburg                                 ";"Wijk      ";"WK073803  ";"1";"         .";
"Eethen";"Aalburg                                 ";"Buurt     ";"BU07380300";"1";"      4266";1
"Verspreide huizen Eethen";"Aalburg                                 ";"Buurt     ";"BU07380309";"1";"      4266";1
"Wijk 04 Meeuwen";"Aalburg                                 ";"Wijk      ";"WK073804  ";"1";"         .";
"Meeuwen";"Aalburg                                 ";"Buurt     ";"BU07380400";"1";"      4268";1
"Verspreide huizen Meeuwen";"Aalburg                                 ";"Buurt     ";"BU07380409";"1";"      4268";1
"Wijk 05 Drongelen";"Aalburg                                 ";"Wijk      ";"WK073805  ";"1";"         .";
"Drongelen";"Aalburg                                 ";"Buurt     ";"BU07380500";"1";"      4267";1
"Verspreide huizen Drongelen";"Aalburg                                 ";"Buurt     ";"BU07380509";"1";"      4267";1
"Wijk 06 Babyloniënbroek";"Aalburg                                 ";"Wijk      ";"WK073806  ";"1";"         .";
"Babyloniënbroek";"Aalburg                                 ";"Buurt     ";"BU07380600";"1";"      4269";1
"Verspreide huizen Babyloniënbroek";"Aalburg                                 ";"Buurt     ";"BU07380609";"1";"      4269";2
"Aalsmeer";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";".";"         .";
"Wijk 00 Aalsmeer";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";"         .";
"Centrum";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";"      1431";1
"Stommeer";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";"      1431";1
"Hornmeer";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";"      1431";1
"Uiterweg";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";"      1431";1
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";"         .";
"Kudelstaart";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";"      1433";1
"Wijk 02 Oosteinde";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";"         .";
"Bovenlanden";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";"      1432";1
"Greenpark";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";"      1432";1
"Oosteinde";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";"      1432";1
"Schinkelpolder";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";"      1432";1
"Aalten";"Aalten                                  ";"Gemeente  ";"GM0197    ";".";"         .";
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";"         .";
"Barlo-Kern";"Aalten                                  ";"Buurt     ";"BU01970101";"1";"      7122";1
"Verspreide huizen Barlo";"Aalten                                  ";"Buurt     ";"BU01970102";"1";"      7122";4
"Verspreide huizen Heurne";"Aalten                                  ";"Buurt     ";"BU01970103";"1";"      7122";5
"Verspreide huizen IJzerlo";"Aalten                                  ";"Buurt     ";"BU01970104";"1";"      7122";1
"IJzerlo-kern";"Aalten                                  ";"Buurt     ";"BU01970105";"1";"      7122";1
"Lintelo-kern";"Aalten                                  ";"Buurt     ";"BU01970106";"1";"      7122";1
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";"Buurt     ";"BU01970107";"1";"      7122";1
"Verspreide huizen Lintelo";"Aalten                                  ";"Buurt     ";"BU01970108";"1";"      7122";1
"Verspreide huizen Dalese Veld";"Aalten                                  ";"Buurt     ";"BU01970109";"1";"      7122";1
"Verspreide huizen Dale";"Aalten                                  ";"Buurt     ";"BU01970110";"1";"      7122";3
"Verspreide huizen Haart";"Aalten                                  ";"Buurt     ";"BU01970111";"1";"      7121";1
"Haart-kern";"Aalten                                  ";"Buurt     ";"BU01970112";"1";"      7121";1
"Wijk 02 Bredevoort";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";"         .";
"Verspreide huizen Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970201";"1";"      7121";1
"Verspreide huizen Hollenberg";"Aalten                                  ";"Buurt     ";"BU01970202";"1";"      7121";1
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";"Buurt     ";"BU01970203";"1";"      7126";5
"Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970204";"1";"      7126";1
"Wijk 03 Aalten Kern";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";"         .";
"Aalten-kern West";"Aalten                                  ";"Buurt     ";"BU01970301";"1";"      7122";1
"Aalten-kern Zuid 1";"Aalten                                  ";"Buurt     ";"BU01970302";"1";"      7121";4
"Aalten-kern Zuid 2";"Aalten                                  ";"Buurt     ";"BU01970303";"1";"      7123";1
"Aalten-kern Noord/Noordoost";"Aalten                                  ";"Buurt     ";"BU01970304";"1";"      7121";4
"Aalten Kern 't Kobus";"Aalten                                  ";"Buurt     ";"BU01970305";"1";"      7122";1
"Aalten-kern Oost";"Aalten                                  ";"Buurt     ";"BU01970306";"1";"      7121";1
"Aalten-kern Centrum";"Aalten                                  ";"Buurt     ";"BU01970307";"1";"      7121";4
"Wijk 04 Dinxperlo";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";"         .";
"Dinxperlo Centrum/Oost";"Aalten                                  ";"Buurt     ";"BU01970400";"1";"      7091";1
"Dinxperlo Noord";"Aalten                                  ";"Buurt     ";"BU01970401";"1";"      7091";1
"Dinxperlo West";"Aalten                                  ";"Buurt     ";"BU01970402";"1";"      7091";1
"De Heurne-kern";"Aalten                                  ";"Buurt     ";"BU01970403";"1";"      7095";1
"Verspreide huizen Dinxperlo";"Aalten                                  ";"Buurt     ";"BU01970408";"1";"      7091";4
"Verspreide huizen De Heurne";"Aalten                                  ";"Buurt     ";"BU01970409";"1";"      7095";1
"Achtkarspelen";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";".";"         .";
"Wijk 00 Noord";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";"         .";
"Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";"      9285";1
"Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";"      9286";1
"Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";"      9288";1
"Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";"      9287";1
"Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";"      9873";1
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";"      9285";1
"Verspreide huizen Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";"      9286";1
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";"      9288";1
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";"      9287";1
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";"      9873";1
"Wijk 01 Centrum";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";"         .";
"Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";"      9871";4
"Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";"      9289";1
"Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";"      9284";1
"Verspreide huizen Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";"      9872";1
"Verspreide huizen Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";"      9289";1
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";"      9284";1
"Wijk 02 Zuid";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";"         .";
"Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";"      9231";1
"Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";"      9281";1
"Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";"      9283";1
"Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";"      9233";1
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";"      9231";1
"Verspreide huizen Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";"      9281";1
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";"      9283";1
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";"      9233";1
"Alblasserdam";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";".";"         .";
"Wijk 01 Centrum";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";"         .";
"Cortgene";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";"      2951";4
"Redersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";"      2951";1
"kerkbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";"      2951";1
"Polderbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";"      2952";1
"De Werven";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";"      2951";1
"Wijk 02 Kinderdijk";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";"         .";
"Dijk";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";"      2953";1
"Vogelbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";"      2953";1
"Waterland";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";"      2953";1
"Groene Long";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1";"      2953";1
"Rivierenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1";"      2953";1
"Nieuw Kinderdijk";"Alblasserdam                            ";"Buurt     ";"BU04820206";"1";"      2953";1
"Wijk 03 Blokweer";"Alblasserdam                            ";"Wijk      ";"WK048203  ";"1";"         .";
"Zeelt";"Alblasserdam                            ";"Buurt     ";"BU04820301";"1";"      2954";1
"Middelland";"Alblasserdam                            ";"Buurt     ";"BU04820302";"1";"      2954";1
"Blokweer Noord";"Alblasserdam                            ";"Buurt     ";"BU04820303";"1";"      2954";1
"Blokweer Zuid";"Alblasserdam                            ";"Buurt     ";"BU04820304";"1";"      2951";1
"Drentsebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820305";"1";"      2951";1
"Florabuurt";"Alblasserdam                            ";"Buurt     ";"BU04820306";"1";"      2951";1
"Staatsliedenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820307";"1";"      2953";1
"Wijk 04 Souburgh";"Alblasserdam                            ";"Wijk      ";"WK048204  ";"1";"         .";
"Schildersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820401";"1";"      2951";1
"Schrijversbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820402";"1";"      2951";1
"Klein Alblas";"Alblasserdam                            ";"Buurt     ";"BU04820403";"1";"      2952";1
"Oranjebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820404";"1";"      2951";1
"Wijk 05 Bedrijventerrein";"Alblasserdam                            ";"Wijk      ";"WK048205  ";"1";"         .";
"Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820501";"1";"      2952";1
"Hoogendijk";"Alblasserdam                            ";"Buurt     ";"BU04820502";"1";"      2952";1
"Nieuwland";"Alblasserdam                            ";"Buurt     ";"BU04820503";"1";"      2952";1
"Wijk 06 Landelijk gebied";"Alblasserdam                            ";"Wijk      ";"WK048206  ";"1";"         .";
"Polder Blokweer";"Alblasserdam                            ";"Buurt     ";"BU04820601";"1";"      2954";4
"Polder Kortland";"Alblasserdam                            ";"Buurt     ";"BU04820602";"1";"      2954";1
"Polder Souburgh";"Alblasserdam                            ";"Buurt     ";"BU04820603";"1";"      2954";2
"Polder Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820604";"1";"      2952";1
"Albrandswaard";"Albrandswaard                           ";"Gemeente  ";"GM0613    ";".";"         .";
"Wijk 01 Poortugaal-Noord";"Albrandswaard                           ";"Wijk      ";"WK061301  ";"1";"         .";
"Valckesteyn";"Albrandswaard                           ";"Buurt     ";"BU06130101";"1";"      3176";1
"Zwaardijk-Kruisdijk";"Albrandswaard                           ";"Buurt     ";"BU06130102";"1";"      3176";1
"Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130103";"1";"      3176";1
"Buitengebied Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130104";"1";"      3176";5
"Wijk 02 Rhoon-Noord";"Albrandswaard                           ";"Wijk      ";"WK061302  ";"1";"         .";
"Rhoon Noord";"Albrandswaard                           ";"Buurt     ";"BU06130205";"1";"      3161";1
"Buitengebied Rhoon-Noord";"Albrandswaard                           ";"Buurt     ";"BU06130207";"1";"      3161";1
"Wijk 03 Poortugaal-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061303  ";"1";"         .";
"Beatrixstraat";"Albrandswaard                           ";"Buurt     ";"BU06130308";"1";"      3171";1
"Landweg";"Albrandswaard                           ";"Buurt     ";"BU06130309";"1";"      3171";1
"Poortugaal-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130310";"1";"      3171";1
"Poortugaal Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1";"      3171";3
"Polder Albrandswaard";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1";"      3172";3
"Kijvelanden";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1";"      3171";5
"Wijk 04 Rhoon-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1";"         .";
"Rhoon-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1";"      3161";1
"Ghijseland";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1";"      3161";1
"Overhoeken";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1";"      3161";1
"Park Rhoon";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1";"      3161";1
"Rhoon-Zuidoost";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1";"      3161";1
"Tijsjesdijk";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1";"      3161";1
"Buitengebied Rhoon-Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1";"      3161";1
"Wijk 05 Buitengebied Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1";"         .";
"Portland-Koedoodzone";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1";"      3161";2
"Buitengebied";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1";"      3161";1
"Wijk 06 Portland";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1";"         .";
"Driehoek";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1";"      3162";1
"Portland-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1";"      3162";1
"Wijkpark Portland";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1";"      3162";3
"De Eilanden";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1";"      3162";1
"Wijk 07 Rotterdam-Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1";"         .";
"Distripark";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1";"      3165";1
"Alkmaar";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";".";"         .";
"Zuid";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";"         .";
"Kooimeer";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";"      1814";1
"Dillenburg en Stadhouderskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";"      1814";1
"Staatsliedenkwartier en Landstraten";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";"      1814";1
"Oud-Rochdale";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";"      1814";1
"Emmakwartier";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";"      1814";1
"Nassaukwartier en Hout";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1";"      1815";1
"Oranjepark";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1";"      1815";1
"Cranenbroek";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1";"      1815";1
"Bloemwijk en Zocherkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610108";"1";"      1815";1
"Burgemeesterskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610109";"1";"      1814";1
"Oudorp";"Alkmaar                                 ";"Wijk      ";"WK036102  ";"1";"         .";
"Rekerbuurt en Ooievaarsnest";"Alkmaar                                 ";"Buurt     ";"BU03610200";"1";"      1823";1
"Oudorp-Noord en Oudorp-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610201";"1";"      1829";1
"Oudorp-Centrum";"Alkmaar                                 ";"Buurt     ";"BU03610202";"1";"      1829";1
"Schermereiland en Omval";"Alkmaar                                 ";"Buurt     ";"BU03610203";"1";"      1821";1
"Oudorperpolder-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610204";"1";"      1823";1
"Oudorperpolder-Midden";"Alkmaar                                 ";"Buurt     ";"BU03610205";"1";"      1823";1
"Oudorperpolder-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610206";"1";"      1823";1
"De Nollen";"Alkmaar                                 ";"Buurt     ";"BU03610208";"1";"      1822";3
"Beverkoog";"Alkmaar                                 ";"Buurt     ";"BU03610209";"1";"      1822";1
"Overdie";"Alkmaar                                 ";"Wijk      ";"WK036103  ";"1";"         .";
"Oud-Overdie";"Alkmaar                                 ";"Buurt     ";"BU03610300";"1";"      1813";1
"Oosterhout";"Alkmaar                                 ";"Buurt     ";"BU03610301";"1";"      1813";4
"Overdie-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610302";"1";"      1813";1
"Overdie-West";"Alkmaar                                 ";"Buurt     ";"BU03610303";"1";"      1813";1
"Boekelermeer-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610308";"1";"      1812";1
"Boekelermeer-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610309";"1";"      1812";1
"West";"Alkmaar                                 ";"Wijk      ";"WK036104  ";"1";"         .";
"De Hoef III en IV";"Alkmaar                                 ";"Buurt     ";"BU03610400";"1";"      1816";1
"De Hoef I en II";"Alkmaar                                 ";"Buurt     ";"BU03610401";"1";"      1816";1
"Bergerwegkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610402";"1";"      1816";1
"Bergerhof en Blaeustraatkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610403";"1";"      1817";1
"Bergermeer";"Alkmaar                                 ";"Buurt     ";"BU03610404";"1";"      1817";1
